shape_name,phase,M,N,K,dtype,time_ms,gflops,pct_peak,hardware,tf32,warmup,n_iter
prefill_qkv,prefill,2048,12288,4096,fp32,6.8235,30213.1,33.16,RTX6000Ada,False,20,100
prefill_qkv,prefill,2048,12288,4096,fp16,1.3383,154047.9,84.64,RTX6000Ada,False,20,100
prefill_qkv,prefill,2048,12288,4096,bf16,1.2212,168811.8,92.75,RTX6000Ada,False,20,100
prefill_outproj,prefill,2048,4096,4096,fp32,2.154,31903.1,35.02,RTX6000Ada,False,20,100
prefill_outproj,prefill,2048,4096,4096,fp16,0.4015,171148.0,94.04,RTX6000Ada,False,20,100
prefill_outproj,prefill,2048,4096,4096,bf16,0.3808,180478.7,99.16,RTX6000Ada,False,20,100
prefill_ffn_up,prefill,2048,11008,4096,fp32,6.3527,29071.6,31.91,RTX6000Ada,False,20,100
prefill_ffn_up,prefill,2048,11008,4096,fp16,1.2465,148166.3,81.41,RTX6000Ada,False,20,100
prefill_ffn_up,prefill,2048,11008,4096,bf16,1.1613,159026.4,87.38,RTX6000Ada,False,20,100
prefill_ffn_down,prefill,2048,4096,11008,fp32,6.2797,29409.6,32.28,RTX6000Ada,False,20,100
prefill_ffn_down,prefill,2048,4096,11008,fp16,1.3173,140201.7,77.03,RTX6000Ada,False,20,100
prefill_ffn_down,prefill,2048,4096,11008,bf16,1.2072,152983.4,84.06,RTX6000Ada,False,20,100
decode_qkv,decode,1,12288,4096,fp32,0.296,340.1,0.37,RTX6000Ada,False,20,100
decode_qkv,decode,1,12288,4096,fp16,0.0623,1616.8,0.89,RTX6000Ada,False,20,100
decode_qkv,decode,1,12288,4096,bf16,0.0581,1734.1,0.95,RTX6000Ada,False,20,100
decode_outproj,decode,1,4096,4096,fp32,0.0196,1715.6,1.88,RTX6000Ada,False,20,100
decode_outproj,decode,1,4096,4096,fp16,0.0388,864.1,0.47,RTX6000Ada,False,20,100
decode_outproj,decode,1,4096,4096,bf16,0.0387,867.6,0.48,RTX6000Ada,False,20,100
decode_ffn_up,decode,1,11008,4096,fp32,0.212,425.4,0.47,RTX6000Ada,False,20,100
decode_ffn_up,decode,1,11008,4096,fp16,0.0302,2986.9,1.64,RTX6000Ada,False,20,100
decode_ffn_up,decode,1,11008,4096,bf16,0.0301,2993.3,1.64,RTX6000Ada,False,20,100
decode_ffn_down,decode,1,4096,11008,fp32,0.218,413.6,0.45,RTX6000Ada,False,20,100
decode_ffn_down,decode,1,4096,11008,fp16,0.0665,1356.1,0.75,RTX6000Ada,False,20,100
decode_ffn_down,decode,1,4096,11008,bf16,0.0638,1413.3,0.78,RTX6000Ada,False,20,100
